,taxid,phylum
2151,28095,Pseudomonadati
2152,92647,Pseudomonadati
2165,137838,Bacillati
2189,2822351,Pseudomonadati
2190,2822349,Pseudomonadati
2191,2845822,Pseudomonadati
2204,2829794,Pseudomonadati
2205,2485925,Bacillati
2231,2897682,Bacillati
2237,2890408,Pseudomonadati
2238,2905649,Bacillati
2239,2905647,Bacillati
2251,2890409,Pseudomonadati
2266,766224,Pseudomonadati
2267,1909294,Pseudomonadati
2268,1909294,Pseudomonadati
2269,1909294,Pseudomonadati
2324,666018,Pseudomonadati
2325,666020,Pseudomonadati
2326,1405,Bacillati
2327,1827198,Pseudomonadati
2357,2588535,Pseudomonadati
2358,2588535,Pseudomonadati
2359,2588535,Pseudomonadati
2360,28171,Pseudomonadati
2391,2963714,Pseudomonadati
2447,42906,Pseudomonadati
2448,615,Pseudomonadati
2449,615,Pseudomonadati
2450,615,Pseudomonadati
2451,61651,Pseudomonadati
2452,82995,Pseudomonadati
2453,615,Pseudomonadati
2454,615,Pseudomonadati
2457,670,Pseudomonadati
2461,61651,Pseudomonadati
2462,61651,Pseudomonadati
2463,61651,Pseudomonadati
2465,2051956,Pseudomonadati
2466,2051956,Pseudomonadati
2467,2051956,Pseudomonadati
2468,2051956,Pseudomonadati
2469,2051956,Pseudomonadati
2470,137838,Bacillati
2590,316279,Bacillati
2591,93060,Bacillati
2592,2026728,Pseudomonadati
2593,1898104,Pseudomonadati
2594,1950799,Pseudomonadati
2595,2044936,Pseudomonadati
2596,2497747,Pseudomonadati
2597,1913988,Pseudomonadati
2598,455436,Pseudomonadati
2599,1871037,Pseudomonadati
2600,1898111,Pseudomonadati
2601,1336794,Pseudomonadati
2602,2024888,Pseudomonadati
2603,754397,Pseudomonadati
2604,2021391,Pseudomonadati
2605,1948399,Pseudomonadati
2606,2024894,Bacillati
2607,2044941,Pseudomonadati
2608,2162614,Bacillati
2609,1009412,Pseudomonadati
2610,985043,Pseudomonadati
2611,166309,Bacillati
2612,1986265,Pseudomonadati
2613,1986609,Pseudomonadati
2614,1986624,Bacillati
2615,1952748,Pseudomonadati
2616,1871037,Pseudomonadati
2617,2024869,Bacillati
